post_title,author,content,users_who_favorited
Donkey Kong Country,tom,Baseball is my favorite sport,glavine/fred/spady
Crash Bandicoot,glavine,once I got a concussion,tom/glavine/fred/spady/jeoffrey/william/willem
pokemon red,fred,I like faking a foul,tom
pokemon blue,spady,garlic makes everything better,
pokemon silver,jeoffrey,best protein hands down,
croc,mranderson,also a tasty snack,mranderson/jeoffrey/glavine/gregory
sonic racing,david,this game is so much more hardcore than football,spady/michael/fred
mario kart,glavine,good with sushi,glavine/jeoffrey
NBA Live,spady,this is my favorite dish,david
Road Rash,jeoffrey,me too!,rob/taylor/michael
Mega Man,glavine,typical fred...,